item number,timestamp,item,material,supplier,location,season,cost price,sale price,mrp,quality,availability,competitor price,price_difference,price_status,optimized price,total_sales
1,10/22/2024 15:20:18,Cotton saree,Cotton,Emco textiles,Jetpur,Summer,300,330,400,Good,Yes,300,30,Competitive,330.0,295
2,10/22/2024 15:22:35,Blouse piece,Cotton,Shree fabrics,Pali,All time,40,50,70,Good,Yes,999,-949,Underpriced,55.0,91
3,10/22/2024 15:24:56,Lungi,Cotton,Shree Ram textiles,Erode,All time,100,120,150,Good,Yes,949,-829,Underpriced,132.0,139
4,10/22/2024 15:26:32,Saree,Silk,Sri Lakshmi silks,Surat,Marriage,600,700,900,Good,Yes,670,30,Competitive,700.0,108
5,10/22/2024 15:28:47,Churidhar,Cotton,Vasanth textiles,Tirupur,All time,250,300,400,Good,Yes,699,-399,Underpriced,330.0,114
6,10/22/2024 15:30:05,Bedsheet,Cotton,RR Textiles,Surat,All time,180,210,250,Good,Yes,697,-487,Underpriced,231.0,76
7,10/22/2024 15:32:18,Handkerchief,Cotton,Sai Ram fabrics,Tirupur,All time,20,25,40,Good,Yes,369,-344,Underpriced,27.5,84
8,10/22/2024 15:34:06,Saree,Chiffon,Ravi textiles,Surat,All time,400,450,600,Good,Yes,420,30,Competitive,450.0,88
9,10/22/2024 15:36:42,Pillow cover,Cotton,RSN textiles,Erode,All time,30,40,50,Good,Yes,269,-229,Underpriced,44.0,120
10,10/22/2024 15:38:54,Shirt,Cotton,Sri Velavan textiles,Erode,All time,200,230,300,Good,Yes,599,-369,Underpriced,253.0,69
11,10/22/2024 15:41:12,Blouse,Cotton,Sathya textiles,Pali,All time,70,80,100,Good,Yes,389,-309,Underpriced,88.0,122
12,10/22/2024 15:43:25,Kurti,Rayon,Swastik textiles,Jaipur,Winter,320,350,450,Good,Yes,320,30,Competitive,350.0,92
13,10/22/2024 15:45:18,Pajamas,Cotton,Vimal textiles,Ahmedabad,All time,150,170,200,Good,Yes,649,-479,Underpriced,187.0,135
14,10/22/2024 15:47:03,Skirt,Silk,Amrit textiles,Surat,Summer,420,470,550,Good,Yes,440,30,Competitive,470.0,115
15,10/22/2024 15:48:59,Bedsheet,Linen,Sadhna textiles,Jaipur,All time,250,280,350,Good,Yes,697,-417,Underpriced,308.0,120
16,10/22/2024 15:51:01,Towel,Cotton,Sri textiles,Karur,All time,100,110,150,Good,Yes,80,30,Competitive,110.0,96
17,10/22/2024 15:52:43,Dupatta,Georgette,Rajesh textiles,Pali,Summer,180,210,300,Good,Yes,1679,-1469,Underpriced,231.0,55
18,10/22/2024 15:54:18,Saree,Cotton,Amba textiles,Bhagalpur,Winter,300,340,450,Good,Yes,310,30,Competitive,340.0,126
19,10/22/2024 15:56:05,Nighty,Silk,Manav textiles,Surat,All time,400,450,600,Good,Yes,474,-24,Competitive,450.0,123
20,10/22/2024 15:58:22,T-shirt,Cotton,Sri Velavan textiles,Erode,All time,220,250,300,Good,Yes,599,-349,Underpriced,275.0,148
21,10/22/2024 16:00:18,Scarf,Wool,Sharma textiles,Ludhiana,Winter,150,180,220,Good,Yes,1679,-1499,Underpriced,198.0,104
